3;2;0.213456;Равн
3;1;0.0144207;Равн
3;0.5;0.00133928;Равн
3;0.25;0.000144695;Равн
3;0.125;1.68267e-05;Равн
3;0.0625;2.02909e-06;Равн
4;2;0.0271413;Равн
4;1;0.00092402;Равн
4;0.5;4.297e-05;Равн
4;0.25;2.32139e-06;Равн
4;0.125;1.34962e-07;Равн
4;0.0625;8.1365e-09;Равн
5;2;0.00305648;Равн
5;1;5.26571e-05;Равн
5;0.5;1.22995e-06;Равн
5;0.25;3.32862e-08;Равн
5;0.125;9.68431e-10;Равн
5;0.0625;2.92044e-11;Равн
3;2;0.153496;Чеб
3;1;0.00986555;Чеб
3;0.5;0.000892973;Чеб
3;0.25;9.52264e-05;Чеб
3;0.125;1.10015e-05;Чеб
3;0.0625;1.32229e-06;Чеб
4;2;0.0180952;Чеб
4;1;0.000600007;Чеб
4;0.5;2.75427e-05;Чеб
4;0.25;1.47842e-06;Чеб
4;0.125;8.56781e-08;Чеб
4;0.0625;5.15709e-09;Чеб
5;2;0.00173888;Чеб
5;1;2.94548e-05;Чеб
5;0.5;6.82559e-07;Чеб
5;0.25;1.84015e-08;Чеб
5;0.125;5.3436e-10;Чеб
5;0.0625;1.61009e-11;Чеб
