3;1;0.369289
4;1;0.357145
5;1;0.0816284
3;0.1;0.000235973
4;0.1;1.47917e-05
5;0.1;4.73635e-07
3;0.01;2.27433e-07
4;0.01;1.37052e-09
5;0.01;4.5528e-12
3;0.001;2.26962e-10
4;0.001;9.20597e-13
5;0.001;4.76508e-13
3;0.0001;8.5576e-13
4;0.0001;8.5576e-13
5;0.0001;8.5576e-13
3;1e-05;5.85869e-11
4;1e-05;1.4178e-11
5;1e-05;4.74847e-11
3;1e-06;1.63458e-10
4;1e-06;8.29592e-10
5;1e-06;1.63458e-10
3;1e-07;2.27903e-09
4;1e-07;6.71993e-09
5;1e-07;3.38926e-09
3;1e-08;2.88072e-08
4;1e-08;6.60275e-09
5;1e-08;6.60275e-09
3;1e-09;2.15442e-07
4;1e-09;2.28647e-07
5;1e-09;3.26464e-07
3;1e-10;1.54771e-06
4;1e-10;2.89318e-06
5;1e-10;6.72737e-07
3;1e-11;3.2634e-05
4;1e-11;1.1775e-05
5;1e-11;3.2634e-05
3;1e-12;0.000432314
4;1e-12;1.1775e-05
5;1e-12;0.000654359
3;1e-13;0.000455864
4;1e-13;0.000455864
5;1e-13;0.00156609
3;1e-14;0.00933765
4;1e-14;0.0981555
5;1e-14;0.00176458
3;1e-15;0.390343
4;1e-15;0.0537466
5;1e-15;0.501365
